location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
El Bosque,El Bosque,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,no2,43.45,µg/m³,-33.547099645619,-70.666204101852,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
London Bloomsbury,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,pm10,13,µg/m³,51.52229,-0.125889,
London Hillingdon,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,no2,52,µg/m³,51.49633,-0.460861,
London Westminster,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,no2,13,µg/m³,51.49467,-0.131931,
Coronel Norte,Coronel,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,co,162.6,µg/m³,-37.008669,-73.148086,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Cerro Navia,Cerro Navia,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,no2,40.52,µg/m³,-33.433089610143,-70.732147868717,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Camden Kerbside,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,no2,45,µg/m³,51.54421,-0.175269,
London Eltham,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,pm25,5,µg/m³,51.45258,0.070766,
London Marylebone Road,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,no2,59,µg/m³,51.52253,-0.154611,
Consultorio - San Vicente,Talcahuano,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,13.98,µg/m³,-36.723695141848,-73.123658865174,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Sub Secretaría del Medio Ambiente""}]"
Cerro Merquín,Coronel,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,14.24,µg/m³,-37.021182877699,-73.149555550926,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Sub Secretaría del Medio Ambiente""}]"
Parque O'Higgins,Santiago,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,so2,1.627,µg/m³,-33.464142,-70.660797,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Camden Kerbside,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,pm10,10,µg/m³,51.54421,-0.175269,
London Bloomsbury,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,no2,39,µg/m³,51.52229,-0.125889,
London Marylebone Road,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,o3,3,µg/m³,51.52253,-0.154611,
Coronel Sur,Coronel,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,o3,27.64,µg/m³,-37.031702,-73.138689,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
21 de mayo,Los Angeles,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,6.771,µg/m³,-37.471182288689,-72.36146284977,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Sub Secretaría del Medio Ambiente""}]"
Pudahuel,Pudahuel,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,co,1126,µg/m³,-33.437811379126,-70.750171233135,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
London Haringey Priory Park South,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,no2,20,µg/m³,51.584128,-0.125254,
London Teddington,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,o3,29,µg/m³,51.42099,-0.339647,
Coronel Norte,Coronel,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,33.58,µg/m³,-37.008669,-73.148086,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Las Condes,Las Condes,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,no2,14.88,µg/m³,-33.37677352033,-70.523326784061,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Quilicura,Quilicura,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,no2,19.58,µg/m³,-33.365775677885,-70.748288055225,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
London Hillingdon,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,o3,5,µg/m³,51.49633,-0.460861,
London Teddington,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,no2,9,µg/m³,51.42099,-0.339647,
Coronel Sur,Coronel,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,21.16,µg/m³,-37.031702,-73.138689,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Las Condes,Las Condes,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,co,303.2,µg/m³,-33.37677352033,-70.523326784061,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Talagante,Talagante,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,so2,13.01,µg/m³,-33.673752071375,-70.953064737434,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
London N. Kensington,London,GB,2015-09-25T04:00:00.000Z,2015-09-25T05:00:00+01:00,pm25,5,µg/m³,51.52105,-0.213492,
Cipreses,Machalí,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,so2,0,µg/m³,-34.261909,-70.463219,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Codelco Divsión El Teniente""}]"
Coronel Sur,Coronel,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,so2,3.568,µg/m³,-37.031702,-73.138689,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Independencia,Independencia,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,no2,57.97,µg/m³,-33.422301,-70.651162,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Talagante,Talagante,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,no2,26.01,µg/m³,-33.673752071375,-70.953064737434,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Antofagasta,Antofagasta,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,35.69,µg/m³,-23.61354215815,-70.383315682411,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Gobernación,Tocopilla,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,so2,1.869,µg/m³,-22.093082,-70.20121,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Norgener S.A""}]"
Coronel Sur,Coronel,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,co,1239,µg/m³,-37.031702,-73.138689,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Independencia,Independencia,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,o3,1.847,µg/m³,-33.422301,-70.651162,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Pudahuel,Pudahuel,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,no2,39.32,µg/m³,-33.437811379126,-70.750171233135,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Coquimbo,Coquimbo,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,4.707,µg/m³,-29.970390235273,-71.336038250122,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Coronel Norte,Coronel,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,o3,21.38,µg/m³,-37.008669,-73.148086,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Las Condes,Las Condes,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,o3,20.29,µg/m³,-33.37677352033,-70.523326784061,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Talagante,Talagante,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,co,862.5,µg/m³,-33.673752071375,-70.953064737434,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Andacollo,Andacollo,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,7.046,µg/m³,-30.227767752117,-71.086126833637,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
21 de mayo,Los Angeles,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,9.48,µg/m³,-37.471182288689,-72.36146284977,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Sub Secretaría del Medio Ambiente""}]"
Talagante,Talagante,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,o3,9.906,µg/m³,-33.673752071375,-70.953064737434,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Antofagasta,Antofagasta,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,1.178,µg/m³,-23.61354215815,-70.383315682411,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Rancagua I,Rancagua,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,co,3091,µg/m³,-34.162314609087,-70.713919225517,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Parque O'Higgins,Santiago,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,no2,41.05,µg/m³,-33.464142,-70.660797,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Quilicura,Quilicura,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,co,276.2,µg/m³,-33.365775677885,-70.748288055225,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Rancagua I,Rancagua,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,23.66,µg/m³,-34.162314609087,-70.713919225517,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Rancagua II,Rancagua,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,28.96,µg/m³,-34.143888375919,-70.737131207664,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
U.C. Maule,Maule,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,7.455,µg/m³,-35.435725588722,-71.619553864003,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Indura,Talcahuano,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,9.594,µg/m³,-36.769803,-73.113708,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
Parque O'Higgins,Santiago,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,co,500.8,µg/m³,-33.464142,-70.660797,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Quilicura,Quilicura,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,o3,1.739,µg/m³,-33.365775677885,-70.748288055225,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
JUNJI,Hualpén,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,no2,33.7,µg/m³,-36.780632,-73.115657,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
"INIA, Chillán",Chillán,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,2.237,µg/m³,-36.594880886514,-72.089253650482,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Sub Secretaría del Medio Ambiente""}]"
Rancagua I,Rancagua,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,49.32,µg/m³,-34.162314609087,-70.713919225517,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
La Florida,Talca,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,34.55,µg/m³,-35.435141887663,-71.678261499336,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
JUNJI,Hualpén,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,6.832,µg/m³,-36.780632,-73.115657,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
Indura,Talcahuano,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,no2,27.76,µg/m³,-36.769803,-73.113708,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
Copiapo Sivica,Copiapó,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,8.15,µg/m³,-27.370329154948,-70.323906678352,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
San Fernando,San Fernando,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,130.2,µg/m³,-34.579759917069,-70.989685186508,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Curicó,Curicó,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,60.88,µg/m³,-34.974925077541,-71.233967512329,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Inpesca,Talcahuano,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,5.307,µg/m³,-36.737202,-73.104427,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
ENAP Price,Hualpén,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,9.173,µg/m³,-36.791231,-73.119152,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
Las Encinas Temuco,Temuco,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,4.131,µg/m³,-38.74869912298,-72.620788228172,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Coyhaique,Coyhaique,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,44.76,µg/m³,-45.57996447948,-72.061125987766,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Cerro Navia,Cerro Navia,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,17,µg/m³,-33.433089610143,-70.732147868717,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Copiapo Sivica,Copiapó,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,34.06,µg/m³,-27.370329154948,-70.323906678352,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Quilpue,Quilpué,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,10.63,µg/m³,-33.047466597243,-71.434512871895,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Universidad de Talca,Talca,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,3.811,µg/m³,-35.406582744695,-71.633396474869,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Inpesca,Talcahuano,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,so2,7.205,µg/m³,-36.737202,-73.104427,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
Punteras,Chiguayante,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,18.79,µg/m³,-36.923329602986,-73.036132300941,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Sub Secretaría del Medio Ambiente""}]"
Osorno,Osorno,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,7.237,µg/m³,-40.584478665958,-73.11871982209,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Pudahuel,Pudahuel,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,28.5,µg/m³,-33.437811379126,-70.750171233135,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Valdivia,Valdivia,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,21.05,µg/m³,-39.831316104673,-73.22851282209,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Huasco Sivica,Huasco,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,22.36,µg/m³,-28.469998068842,-71.219652562817,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Valparaiso,Valparaíso,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,1,µg/m³,-33.049743798096,-71.614167231712,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
La Florida,Talca,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,18.08,µg/m³,-35.435141887663,-71.678261499336,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
U.C. Maule,Maule,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,6.963,µg/m³,-35.435725588722,-71.619553864003,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Indura,Talcahuano,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,o3,27,µg/m³,-36.769803,-73.113708,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
ENAP Price,Hualpén,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,o3,24.97,µg/m³,-36.791231,-73.119152,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
Independencia,Independencia,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,33,µg/m³,-33.422301,-70.651162,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Cerro Navia,Cerro Navia,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,31,µg/m³,-33.433089610143,-70.732147868717,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Rancagua I,Rancagua,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,so2,2.62,µg/m³,-34.162314609087,-70.713919225517,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
JUNJI,Hualpén,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,o3,26.33,µg/m³,-36.780632,-73.115657,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
Indura,Talcahuano,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,so2,17.97,µg/m³,-36.769803,-73.113708,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
Los Ángeles Oriente,Los Angeles,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,10.85,µg/m³,-37.463035064801,-72.324575155457,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Sub Secretaría del Medio Ambiente""}]"
Independencia,Independencia,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,19,µg/m³,-33.422301,-70.651162,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
El Bosque,El Bosque,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,30,µg/m³,-33.547099645619,-70.666204101852,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Quilpue,Quilpué,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,1,µg/m³,-33.047466597243,-71.434512871895,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Rancagua II,Rancagua,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,28.96,µg/m³,-34.143888375919,-70.737131207664,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Curicó,Curicó,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,98.17,µg/m³,-34.974925077541,-71.233967512329,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
JUNJI,Hualpén,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,co,2019,µg/m³,-36.780632,-73.115657,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
ENAP Price,Hualpén,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,co,699.5,µg/m³,-36.791231,-73.119152,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
Parque O'Higgins,Santiago,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,34.5,µg/m³,-33.464142,-70.660797,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Talagante,Talagante,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,17,µg/m³,-33.673752071375,-70.953064737434,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Rengo,Rengo,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,25.86,µg/m³,-34.394541417902,-70.852981542328,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
JUNJI,Hualpén,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,so2,24.82,µg/m³,-36.780632,-73.115657,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
ENAP Price,Hualpén,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,no2,41.46,µg/m³,-36.791231,-73.119152,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
Museo Ferroviario,Temuco,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,2.912,µg/m³,-38.725302444781,-72.571192550926,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Parque O'Higgins,Santiago,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,22,µg/m³,-33.464142,-70.660797,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Puente Alto,Puente Alto,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,3,µg/m³,-33.591390623022,-70.594788,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Universidad de Talca,Talca,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,12.01,µg/m³,-35.406582744695,-71.633396474869,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Indura,Talcahuano,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,co,3042,µg/m³,-36.769803,-73.113708,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""ENAP""}]"
Puren,Chillán,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm10,10.73,µg/m³,-36.616167751711,-72.093040558483,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Sub Secretaría del Medio Ambiente""}]"
Coyhaique,Coyhaique,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,39.11,µg/m³,-45.57996447948,-72.061125987766,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
El Bosque,El Bosque,CL,2015-09-25T04:00:00.000Z,2015-09-25T01:00:00-03:00,pm25,4,µg/m³,-33.547099645619,-70.666204101852,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
